,maker,model,battery,fastcharge_speed,plug,acceleration (sec),topspeed (km/h),erange_real (km),efficiency (Wh/km),country_de (€),country_nl (€)
0,Tesla,Model Y Long Range Dual Motor,75.0,670.0,Type 2 CCS,5.0,217,435,172,59017.0,54993.0
1,Tesla,Model 3 ,57.5,630.0,Type 2 CCS,6.1,225,380,151,46667.0,45993.0
2,Tesla,Model Y ,57.5,580.0,Type 2 CCS,6.9,217,345,167,47567.0,47993.0
3,Tesla,Model 3 Long Range Dual Motor,75.0,750.0,Type 2 CCS,4.4,233,485,155,56667.0,53993.0
4,BYD,ATTO 3 ,60.0,300.0,Type 2 CCS,7.3,160,320,188,44625.0,42998.0
5,MG,MG4 Electric 64 kWh,61.7,450.0,Type 2 CCS,7.9,160,365,169,35990.0,34285.0
6,Tesla,Model S Plaid,95.0,770.0,Type 2 CCS,2.1,282,550,173,137990.0,140993.0
7,BMW,i4 eDrive40,80.7,730.0,Type 2 CCS,5.7,190,470,172,59200.0,61828.0
8,Tesla,Model Y Performance,75.0,640.0,Type 2 CCS,3.7,250,415,181,67667.0,64993.0
9,Kia,Niro EV ,64.8,380.0,Type 2 CCS,7.8,167,380,171,47590.0,44795.0
10,BMW,iX1 xDrive30,64.7,510.0,Type 2 CCS,5.6,180,355,182,55000.0,55274.0
11,Mercedes,EQS 450+,107.8,960.0,Type 2 CCS,6.2,210,640,168,109551.0,109090.0
12,BMW,iX xDrive40,71.0,480.0,Type 2 CCS,6.1,200,360,197,77300.0,85095.0
13,Kia,EV6 GT,74.0,970.0,Type 2 CCS,3.5,260,370,200,72990.0,69295.0
14,Mercedes,EQE 350+,90.6,780.0,Type 2 CCS,6.4,210,525,173,,82028.0
15,Fisker,Ocean One,100.0,730.0,Type 2 CCS,3.9,200,510,196,69950.0,70000.0
16,Hyundai,IONIQ 6 Long Range AWD,74.0,1150.0,Type 2 CCS,5.1,185,440,168,61100.0,59395.0
17,BYD,HAN ,83.0,450.0,Type 2 CCS,3.9,180,465,178,70805.0,75000.0
18,BMW,i7 xDrive60,101.7,760.0,Type 2 CCS,4.7,240,510,199,135900.0,141810.0
19,Tesla,Model S Dual Motor,95.0,790.0,Type 2 CCS,3.2,250,570,167,112990.0,115993.0
20,Skoda,Enyaq iV 80,77.0,530.0,Type 2 CCS,8.6,160,420,183,48900.0,54590.0
21,Tesla,Model 3 Performance,75.0,710.0,Type 2 CCS,3.3,261,460,163,63667.0,60993.0
22,Nissan,Ariya 87kWh,87.0,530.0,Type 2 CCS,7.6,160,445,196,63490.0,57990.0
23,Hyundai,Kona Electric 64 kWh,64.0,370.0,Type 2 CCS,7.9,167,395,162,42900.0,46795.0
24,Dacia,Spring Electric 45,25.0,180.0,Type 2 CCS,19.1,125,165,152,22550.0,21750.0
25,Peugeot,e-208 ,45.0,460.0,Type 2 CCS,8.1,150,285,158,35350.0,32250.0
26,BMW,iX xDrive50,105.2,680.0,Type 2 CCS,4.6,200,505,208,100100.0,104711.0
27,Hongqi,E-HS9 99 kWh,90.0,410.0,Type 2 CCS,4.9,200,355,254,,94590.0
28,BMW,i4 eDrive35,67.0,540.0,Type 2 CCS,6.0,190,400,168,56500.0,58046.0
29,Renault,Megane E-Tech EV60 220hp,60.0,500.0,Type 2 CCS,7.4,160,360,167,46600.0,42190.0
30,Audi,Q8 e-tron 55 quattro,106.0,670.0,Type 2 CCS,5.6,200,495,214,85300.0,82985.0
31,Volkswagen,ID. Buzz Pro,77.0,460.0,Type 2 CCS,10.2,145,330,233,64581.0,69990.0
32,Audi,Q4 e-tron 40,76.6,510.0,Type 2 CCS,8.5,160,405,189,51900.0,59175.0
33,BYD,TANG ,84.0,330.0,Type 2 CCS,4.6,180,350,240,71400.0,73300.0
34,BMW,iX3 ,74.0,520.0,Type 2 CCS,6.8,180,385,192,67300.0,71488.0
35,Smart,#1 ,64.0,520.0,Type 2 CCS,6.7,180,350,183,41490.0,41395.0
36,Lucid,Air Dream Edition R,118.0,870.0,Type 2 CCS,2.9,270,685,172,218000.0,222000.0
